,mass,charge,p,pdgId,status,pt,eta,phi,beta,gamma,event,run,luminosityBlock,foundTrack,trackCharge,trackPt,trackPhi,trackEta,validHits,missingInnerHits,trackHits,missingOuterHits,validLayers,hpmissingOuterHits
12798,700.048,1,624.707,1000024,62,424.606,0.936264,3.14025,0.665817,1.34028,9690,1,1,1,1,455.26300000000003,3.14019,0.936268,16,1,0,2,13,0
12799,700.048,1,1269.32,1000024,62,642.486,1.3027799999999998,-1.62025,0.875655,2.0706599999999997,9691,1,1,1,1,726.288,-1.62024,1.30274,13,1,0,2,8,4
12800,700.048,-1,2193.32,-1000024,62,640.288,1.90238,1.5018,0.9526530000000001,3.28882,9691,1,1,1,-1,519.011,1.5017399999999999,1.9024,29,1,0,2,17,0
12801,700.048,-1,1064.79,-1000024,62,942.5939999999999,0.503838,3.13445,0.835586,1.8203,9692,1,1,1,-1,905.33,3.13444,0.503946,16,1,0,2,14,0
12802,700.048,1,668.3510000000001,1000024,62,507.583,0.776267,0.980547,0.690543,1.38257,9693,1,1,1,1,371.315,0.980758,0.77617,12,1,0,2,11,3
12803,700.048,1,418.392,1000024,62,329.964,-0.716675,-2.89157,0.513019,1.16499,9694,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12804,700.048,1,971.905,1000024,62,958.992,0.16392400000000001,-0.615103,0.811425,1.7109900000000002,9695,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12805,700.048,-1,1114.27,-1000024,62,909.299,-0.659429,2.61548,0.846757,1.8797700000000002,9695,1,1,1,1,3888.3,2.61579,-0.659245,9,1,0,2,7,7
12806,700.048,1,207.08,1000024,62,97.1563,-1.38971,-2.62682,0.28365799999999997,1.04283,9698,1,1,1,1,74.1668,-2.6261799999999997,-1.39034,5,1,0,2,4,6
12807,700.048,-1,832.92,-1000024,62,85.8285,-2.96307,0.6404880000000001,0.765526,1.55423,9698,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12808,700.048,-1,533.528,-1000024,62,245.13,-1.41335,-1.76393,0.606157,1.25732,9696,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12809,700.048,1,356.142,1000024,62,355.31800000000004,0.0680663,1.2959200000000002,0.453434,1.1219700000000001,9699,1,1,1,1,316.77299999999997,1.29598,0.0674926,13,1,0,2,10,4
12810,700.048,1,1217.51,1000024,62,229.77700000000002,2.35157,-1.8629200000000001,0.8669129999999999,2.00618,9702,1,1,1,1,228.218,-1.8630799999999998,2.35155,22,1,0,2,13,0
12811,700.048,1,429.45300000000003,1000024,62,411.727,-0.292389,-2.1278099999999998,0.522908,1.17317,9697,1,1,1,1,439.79,-2.1278799999999998,-0.292224,14,1,0,2,12,0
12812,700.048,1,1166.86,1000024,62,714.1110000000001,-1.0737299999999999,0.485334,0.8575149999999999,1.9437900000000001,9703,1,1,1,1,751.2810000000001,0.485271,-1.0738,16,1,0,2,12,0
12813,700.048,-1,676.117,-1000024,62,598.596,-0.5035930000000001,-0.177655,0.694706,1.39025,9700,1,1,1,1,772.0310000000001,-0.177375,-0.5031640000000001,3,1,0,2,3,5
12814,700.048,1,835.302,1000024,62,602.814,0.8522350000000001,2.62593,0.7664300000000001,1.55684,9704,1,1,1,1,745.295,2.62585,0.852351,11,1,0,2,6,7
12815,700.048,-1,1301.59,-1000024,62,630.668,1.35305,-0.510831,0.8807,2.11115,9704,1,1,1,-1,611.047,-0.510792,1.35303,12,1,0,2,11,0
12816,700.048,-1,620.335,-1000024,62,353.73800000000006,-1.16135,1.4370100000000001,0.6632100000000001,1.3361299999999998,9705,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12817,700.048,-1,898.2589999999999,-1000024,62,617.8480000000001,-0.91995,-3.05303,0.788755,1.62679,9707,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12818,700.048,1,773.591,1000024,62,746.387,-0.269177,-2.52145,0.7414729999999999,1.49035,9709,1,1,1,1,744.067,-2.52144,-0.26900799999999997,20,1,0,2,14,0
12819,700.048,1,1253.0,1000024,62,569.934,1.42466,-0.217016,0.872991,2.05029,9706,1,1,1,-1,55.9901,-0.21861399999999998,1.42458,3,1,0,2,3,6
12820,700.048,1,606.482,1000024,62,599.26,0.155101,-2.31209,0.654792,1.32308,9701,1,1,1,1,604.038,-2.31212,0.154565,19,1,0,2,14,0
12821,700.048,-1,381.535,-1000024,62,357.213,0.36695500000000003,0.983886,0.47855299999999995,1.13888,9701,1,1,1,-1,434.522,0.983975,0.366879,15,1,0,2,12,2
12822,700.048,-1,979.67,-1000024,62,340.38300000000004,1.7186400000000002,2.52585,0.8136220000000001,1.72,9712,1,1,1,1,900.701,2.52625,1.71855,4,1,0,2,4,13
12823,700.048,1,467.79,1000024,62,97.1959,-2.25347,1.6900099999999998,0.555597,1.20272,9711,1,1,1,1,76.0112,1.6902099999999998,-2.25357,5,1,0,2,4,7
12824,700.048,-1,445.944,-1000024,62,181.433,-1.54824,-2.80082,0.537269,1.18566,9710,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12825,700.048,-1,1559.84,-1000024,62,252.01,-2.50943,2.70324,0.912333,2.44231,9713,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12826,700.048,1,1376.16,1000024,62,733.444,-1.2424,-2.26533,0.8913049999999999,2.20554,9715,1,1,1,1,161.102,-2.26457,-1.24214,5,1,0,2,4,8
12827,700.048,-1,1527.2,-1000024,62,798.552,-1.26488,0.615529,0.9090469999999999,2.39984,9715,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12828,700.048,1,1234.69,1000024,62,746.827,-1.08849,-0.737306,0.8699049999999999,2.0274900000000002,9714,1,1,1,1,461.541,-0.737161,-1.0884200000000002,8,1,0,2,7,5
12829,700.048,-1,825.1039999999999,-1000024,62,734.591,-0.491458,2.36444,0.762528,1.5457,9714,1,1,1,-1,647.464,2.36444,-0.491468,10,1,0,2,8,5
12830,700.048,1,308.259,1000024,62,113.37700000000001,-1.65769,-2.69477,0.402999,1.09266,9708,1,1,1,1,164.74099999999999,-2.6954,-1.65769,5,1,0,2,5,11
12831,700.048,-1,1143.77,-1000024,62,430.55699999999996,1.63268,0.46497,0.852925,1.9155900000000001,9708,1,1,1,-1,457.31800000000004,0.46507,1.63284,10,1,0,2,9,8
12832,700.048,1,151.097,1000024,62,127.075,-0.6055729999999999,-1.30861,0.21098000000000003,1.0230299999999999,9717,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12833,700.048,1,407.95300000000003,1000024,62,335.00300000000004,0.64851,-2.78953,0.503495,1.15741,9716,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12834,700.048,1,1130.42,1000024,62,521.755,1.40819,1.12476,0.8501770000000001,1.89935,9718,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12835,700.048,-1,265.108,-1000024,62,250.261,-0.342778,-2.8986400000000003,0.354155,1.06931,9718,1,1,1,1,58.2555,-2.8968,-0.34358299999999997,3,1,0,2,3,4
12836,700.048,1,1053.05,1000024,62,699.268,0.967716,-1.30069,0.832775,1.8063200000000001,9722,1,1,1,1,1044.26,-1.30073,0.9678260000000001,10,1,0,2,6,5
12837,700.048,-1,705.6469999999999,-1000024,62,703.064,-0.0856977,1.85822,0.709918,1.41988,9722,1,1,1,-1,490.64300000000003,1.8580900000000002,-0.0854798,12,1,0,2,9,5
12838,700.048,-1,1836.95,-1000024,62,533.116,-1.90852,1.44818,0.934444,2.80813,9719,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12839,700.048,-1,1235.43,-1000024,62,674.414,1.21393,0.39148299999999997,0.870031,2.02841,9730,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12840,700.048,1,384.273,1000024,62,382.157,-0.105181,-0.542403,0.48119399999999996,1.14075,9720,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12841,700.048,1,1001.49,1000024,62,727.091,0.843556,-3.05258,0.819615,1.7454599999999998,9725,1,1,1,1,784.826,-3.05261,0.843517,17,1,0,2,14,0
12842,700.048,-1,337.486,-1000024,62,303.92900000000003,0.4657,0.246009,0.43426099999999995,1.11014,9721,1,1,1,-1,648.431,0.246363,0.46554300000000004,7,1,0,2,5,7
12843,700.048,-1,382.30699999999996,-1000024,62,186.56799999999998,-1.3448799999999999,0.976096,0.479299,1.1394,9723,1,1,1,-1,12.13,0.9175030000000001,-1.36821,14,1,0,2,11,0
12844,700.048,1,1005.1,1000024,62,129.445,-2.7385599999999997,0.48878,0.8205819999999999,1.7496900000000002,9727,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12845,700.048,-1,491.608,-1000024,62,107.615,-2.20007,-2.20742,0.5746979999999999,1.22195,9727,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12846,700.048,1,929.633,1000024,62,605.0830000000001,-0.9942719999999999,0.964046,0.798834,1.6623700000000001,9728,1,1,1,1,636.558,0.9639540000000001,-0.994115,17,1,0,2,12,0
12847,700.048,-1,1201.39,-1000024,62,597.552,-1.32301,-2.2490799999999997,0.8640180000000001,1.98625,9728,1,1,1,-1,612.789,-2.24916,-1.3229,16,1,0,2,12,0
